epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,lr
1.0,1.098387352826363,0.46502707581227437,0.3455429082150423,0.33825727079003515,0.476900269061417,1.1087836411548126,0.27555141348244794,0.41693355431518,0.24684077864585133,0.33943968361354065,4.0006579495754635e-05
2.0,1.0325642081804653,0.5236913357400722,0.39302047480657865,0.41133273044567975,0.5235126539193558,0.9887395939422565,0.5215905560733147,0.5059724184991801,0.4405197639909387,0.5401781213525405,4.002631509703425e-05
3.0,0.9553660031690494,0.5571976534296029,0.48596765697561334,0.4992004303334892,0.5597487574458847,0.910716500794084,0.5625970798384592,0.5705415698200988,0.5041378197014895,0.5773703942053443,4.0059198147151855e-05
4.0,0.8892336698645719,0.5778429602888087,0.5581901348209827,0.5292232447728115,0.5806745683191095,0.8656615914488179,0.5874495184840013,0.6082857603893497,0.5119553397461362,0.5991060981990053,4.010521422251487e-05
5.0,0.8443494014146096,0.5882220216606499,0.593727579081211,0.5371348608423009,0.5901152131536251,0.8484164273083377,0.570363466915191,0.6269753176912589,0.4863948040155654,0.5852624835554574,4.016434313895181e-05
6.0,0.8081614334230388,0.5843862815884476,0.605732016769859,0.5374883030035557,0.5881544095042884,0.8350692188269457,0.5625970798384592,0.6351410678867849,0.48709023855117356,0.5812227747354927,4.0236558960565664e-05
7.0,0.7940615144447299,0.5938628158844765,0.6189560637700496,0.5421316445855463,0.5979411736798879,0.8301912460611562,0.5610438024231128,0.6368800814260532,0.4780992634199977,0.5795116927919921,4.032183001111035e-05
8.0,0.7862547586540883,0.6081904332129964,0.6209785896312462,0.5502323820458841,0.6106888704210712,0.8261098350083173,0.5492388940664803,0.6348159405217121,0.4753190566933225,0.5694603577906999,4.042011888788485e-05
9.0,0.7615377896529243,0.6063853790613718,0.6379667163488126,0.5614781212982315,0.6097071796750758,0.8179180356944411,0.5548306927617273,0.630148264402166,0.47359706618165004,0.5744107155754109,4.053138247813933e-05
10.0,0.7538036463062686,0.6140568592057761,0.6550124880463462,0.5733492089915352,0.6170727597775358,0.8173952701299891,0.5532774153463809,0.633089492946802,0.4704498661410191,0.5735799233148355,4.065557197798583e-05
11.0,0.7591957861981237,0.6156362815884476,0.6523591265339889,0.5721440553281882,0.6194653375181293,0.8123711010949809,0.5591798695246971,0.6321477803469508,0.46759401185017335,0.5785947132329798,4.07926329138052e-05
12.0,0.7467468161445232,0.6093185920577617,0.6498384579593446,0.5668773796771851,0.6131087751416732,0.8051999951045904,0.5601118359739049,0.6341535676423525,0.47679513710217786,0.5800070211504833,4.094250516614108e-05
13.0,0.7484510556024765,0.6174413357400722,0.6512559560151506,0.5735893142364151,0.6211282249989344,0.8120767400478791,0.546753650201926,0.6263639550279063,0.46165676640879827,0.5692076847203593,4.110512299607026e-05
14.0,0.7460460864034371,0.6138312274368231,0.6614038887126831,0.5754265030169087,0.6185431442728642,0.7953507923568839,0.5740913327120224,0.6374896101797665,0.4782787927932795,0.5923654834759418,4.128041507403799e-05
15.0,0.7421089280598431,0.6227436823104693,0.6661311794972126,0.5838877073138967,0.6271137509660052,0.7893819987088785,0.5722273998136067,0.6393365859407365,0.48299736676986865,0.5905959478267602,4.1468304511145395e-05
16.0,0.7403318878760837,0.6278203971119134,0.662655476833362,0.5835166144347563,0.6312995524225246,0.7864701854364218,0.5709847778813296,0.640513075807716,0.4838263961911438,0.590238112350902,4.166870889287556e-05
17.0,0.7327457605071016,0.623533393501805,0.6614774645040488,0.5833834979204149,0.62802853790706,0.7849893681600842,0.5837216526871699,0.6456835358961166,0.48604597202728045,0.6026545327222091,4.188154031524326e-05
18.0,0.7313261241904234,0.6326714801444043,0.6695095960955992,0.5861100217376044,0.6360435424374844,0.7815946947346937,0.5799937868903386,0.6465812947610259,0.4865924173491593,0.600114977892126,4.210670542335247e-05
19.0,0.7212861652623875,0.6283844765342961,0.6660021896592577,0.5849042485375149,0.6332889751656662,0.7738586339605413,0.5911773842808326,0.6511252226903778,0.492843654857613,0.6096992704704519,4.234410545234498e-05
20.0,0.7180312733142384,0.6407942238267148,0.6669886526203391,0.5910416137573868,0.6433413057024159,0.7746206668268342,0.5890027958993477,0.6539653690823505,0.4946142541505408,0.6092400187377421,4.259363627072198e-05
21.0,0.7269980621251819,0.6451940433212996,0.6800262934154441,0.5993588433656284,0.6491951681866139,0.770956352061461,0.5921093507300403,0.6575211802944735,0.49843305323481646,0.6124728139419419,4.285518842601942e-05
22.0,0.7219857775777686,0.6482400722021661,0.6780937965040429,0.6044402450697861,0.6521941696195809,0.7609890980096884,0.6020503261882573,0.659509355466118,0.5078670406189553,0.6206764747618173,4.312864719281762e-05
23.0,0.7061265939409552,0.6422608303249098,0.6784857184454425,0.5986757170494513,0.6460628716315081,0.7639020935983234,0.6045355700528114,0.6626979194878656,0.5029167728235175,0.6241831845294876,4.341389262306357e-05
24.0,0.7120021346028531,0.646322202166065,0.6836350592496828,0.5979981461339714,0.6505600881642002,0.761490890571663,0.6048462255358807,0.6643364595928921,0.505884019282759,0.6242543779075834,4.3710799598684106e-05
25.0,0.7131363083524395,0.649706678700361,0.6859878192571559,0.6070939613432212,0.6529891614096117,0.7567649140384635,0.6088847468157813,0.6617248036086814,0.5101927679600798,0.6285937537807077,4.4019237886466845e-05
26.0,0.7192626168366374,0.6479016245487365,0.6768892414470923,0.603761022295351,0.6516287405470212,0.7527343757443636,0.6123019571295434,0.6710940017551678,0.5152702535106939,0.6311289362394928,4.4339072195184804e-05
27.0,0.7142246511869051,0.6472247292418772,0.6825911233657983,0.6068100949415577,0.650309742012295,0.7506824872922586,0.6135445790618205,0.672878186466221,0.5179689419697446,0.6323740010445009,4.467016223493955e-05
28.0,0.7138113340746195,0.6489169675090253,0.681668360186979,0.603637465125849,0.6524525865106223,0.7423261512729388,0.6262814538676608,0.6716846931939059,0.5231338050668431,0.6425405029905068,4.5012362778697025e-05
29.0,0.7064230193515116,0.6508348375451264,0.6886621670011511,0.6038253888079043,0.6545700574774658,0.7456643027191245,0.623174899036968,0.6727343757698337,0.5221212111749146,0.6409466000750798,4.536552372598888e-05
30.0,0.6958466624094691,0.6479016245487365,0.6919839312137238,0.606374869855994,0.6516012603812354,0.7422538408584275,0.6213109661385523,0.6706846269851154,0.5266391853884983,0.6387169472810772,4.572949016875158e-05
31.0,0.6996506894753728,0.6415839350180506,0.6842909533582261,0.6011622422066139,0.646623044052753,0.7309316290243326,0.632183908045977,0.675841920145111,0.5326281210006627,0.6468723013031067,4.6104102459274115e-05
32.0,0.7000224394488421,0.646322202166065,0.6762715953378984,0.6048145229190176,0.6498213992117798,0.7283391829009529,0.6306306306306306,0.6734569284133972,0.5371978449868743,0.6452927207999776,4.648919628022481e-05
33.0,0.7034554493341205,0.6504963898916968,0.687999984175438,0.6143995600642654,0.6541270703453534,0.7301697032390155,0.6234855545200373,0.6722854924601918,0.5346007429682288,0.6395672840678528,4.688460271672632e-05
34.0,0.698330012899874,0.6583935018050542,0.6890403042022317,0.6132362459995827,0.6618923249075755,0.7321487677026958,0.6256601429015222,0.6715836110412425,0.52776867079573,0.6426009217338797,4.7290148330447313e-05
35.0,0.6895705439984153,0.6546705776173285,0.691678755718116,0.6098966994774758,0.6580478293672222,0.7201957667640515,0.6334265299782541,0.6706042238114414,0.5327026981747162,0.6468227918736881,4.770565523567818e-05
36.0,0.7038483897271139,0.6518501805054152,0.6857449034432208,0.6074361931072169,0.6556491103680626,0.729995838101142,0.6225535880708295,0.6746070766691922,0.534164049123721,0.6397184992240353,4.8130941177357656e-05
37.0,0.7061010008469385,0.6518501805054152,0.6899655528134718,0.6065360502974625,0.6564990998332438,0.7261945058485483,0.6250388319353837,0.6712672054092224,0.5309149982790983,0.641025785913657,4.8565819611015904e-05
38.0,0.6980773283686449,0.654783393501805,0.6871904127624681,0.6048905170714867,0.6588073218631567,0.7244526880540697,0.6296986641814228,0.676600922227407,0.5361402069231375,0.6461972329453262,4.901009978459905e-05
39.0,0.6922968075163528,0.6557987364620939,0.6840908702584075,0.6076897631960462,0.659290273988289,0.7159978064293816,0.6356011183597391,0.679771257652601,0.5452987116748228,0.6503915024168487,4.946358682213934e-05
40.0,0.7046201338836863,0.6561371841155235,0.6873648845880481,0.6104106907198877,0.6601245929153553,0.708374925006358,0.6433675054364709,0.6819678684801893,0.5596418790195905,0.6565002618758314,4.992608180923426e-05
41.0,0.69842354270095,0.651173285198556,0.6825907351894008,0.6054110499521105,0.6548105800199638,0.7108564484782306,0.6427461944703324,0.6832454404998322,0.5526275786332432,0.6563127741148045,5.039738188029683e-05
42.0,0.7085422964948179,0.6555731046931408,0.6873609853533322,0.6076825831883267,0.6596995901552108,0.7075243195823795,0.644610127368748,0.6778815455935323,0.5587305605178788,0.6574239311477326,5.087728030753931e-05
