epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,lr
1.0,0.9034258229600871,0.5639378834355828,0.5460435136648242,0.46438277960840635,0.5768453930255948,0.8110831397094428,0.6500300661455202,0.48098497834716714,0.509055083426229,0.620148712279301,4.0006579495754635e-05
2.0,0.8010182147102853,0.6235621165644172,0.6217451814575151,0.5520410373810909,0.6291072429852876,0.8883803854021621,0.6434155141310884,0.41413010244997794,0.4081438201369669,0.6059673671040838,4.002631509703425e-05
3.0,0.7626529126628044,0.640625,0.6362154818632679,0.5685882959373187,0.6452819648340741,0.7431825821613305,0.5838845460012027,0.5977740687276956,0.5567644578398802,0.5875659148538454,4.0059198147151855e-05
4.0,0.7590927369206961,0.6418711656441718,0.6575181238329533,0.581553448455543,0.6477510885898227,0.7393018610493218,0.629585087191822,0.595565429648342,0.4951626557039353,0.5508753370707709,4.010521422251487e-05
5.0,0.748136779464827,0.6427338957055214,0.6593032655668609,0.5847240484481698,0.6478351667651332,0.7444587247742993,0.6271797955502104,0.5914581579052889,0.6124005385211886,0.6311161600783175,4.016434313895181e-05
6.0,0.7278237164569047,0.6458013803680982,0.6694221852333314,0.5899276817245621,0.6519342216704173,0.7679305242904324,0.6512327119663259,0.575463130037291,0.6145822048115982,0.6484636415570728,4.0236558960565664e-05
7.0,0.7279272714366942,0.6646855828220859,0.6752585623225604,0.6050465253696548,0.6698496424753998,0.7107358716800137,0.6374022850270595,0.6514192128794257,0.5850714344954433,0.6436315557198153,4.032183001111035e-05
8.0,0.7296672282409082,0.6499233128834356,0.6678738219934464,0.5946043894819922,0.6558922092375882,0.7635929140783689,0.6241731809981961,0.5900500972372589,0.5988445775679817,0.6281131021026877,4.042011888788485e-05
9.0,0.7141332317349369,0.6568251533742331,0.6784458042619362,0.6056985290571312,0.6627020878801173,0.7420817284037818,0.6500300661455202,0.5892213250330807,0.5589190323565324,0.6051062887803718,4.053138247813933e-05
10.0,0.6960775098460583,0.6566334355828221,0.6730376932100652,0.612440371423448,0.6614148183397512,1.0219075617414601,0.4215273601924233,0.5644037701992862,0.37499534091018943,0.33608258902206234,4.065557197798583e-05
11.0,0.7076008791572477,0.6487730061349694,0.6764257833632922,0.597111054253677,0.6545720058848848,0.7398958849892585,0.6361996392062538,0.631817635029472,0.5520037258536843,0.6235982939157204,4.07926329138052e-05
12.0,0.7187083652871518,0.6341065950920245,0.666080619580169,0.586071031308203,0.6399138824397037,1.0850124002864974,0.3890559230306675,0.5536025401980833,0.32667092059125064,0.29785280111365725,4.094250516614108e-05
13.0,0.7331757184369433,0.6374616564417178,0.6515910405911673,0.5756778903641072,0.6430833359651816,0.7940699243072422,0.5622369212266988,0.5947746250852078,0.5215645462102844,0.569557395980017,4.110512299607026e-05
14.0,0.7500270080347002,0.6127300613496932,0.6563399807783589,0.5657796284727311,0.6197272859191515,0.870599503178089,0.5760673481659652,0.5767876117727254,0.3751219242499788,0.4619630945551512,4.128041507403799e-05
15.0,0.7740574231359856,0.6000766871165644,0.6262222382328101,0.5368300340353079,0.6083427088120954,0.7992296160808616,0.5754660252555622,0.5599438880869322,0.5141033525646918,0.5698286612779846,4.1468304511145395e-05
16.0,0.7818926382649896,0.6000766871165644,0.6249504103870674,0.5439900277426557,0.6067481187799414,0.8540972719978154,0.5880938063740229,0.49432728357191547,0.5332725800057924,0.5847163429463365,4.166870889287556e-05
17.0,0.7698687563644596,0.5784125766871165,0.6271557621714051,0.527083735574058,0.5871644140142114,0.8950266277510505,0.44798556825015035,0.46762838826737235,0.4141934463360828,0.3898476317465099,4.188154031524326e-05
18.0,0.791874186301524,0.5822469325153374,0.6071854647212613,0.5112389926001598,0.5906697450429698,0.8979537801361198,0.43716175586289835,0.5102320913027788,0.4051917908398559,0.37179947465751106,4.210670542335247e-05
19.0,0.8041950456021022,0.5792753067484663,0.6112287888714004,0.5141650805849863,0.5875505006008326,0.8381423951270561,0.5598316295850871,0.5014063063875857,0.49591108777513165,0.554332961455367,4.234410545234498e-05
20.0,0.7956221076242763,0.571319018404908,0.6052528681068309,0.5037800807624365,0.5813744520951378,0.8822072011049584,0.5904990980156344,0.4328318597377601,0.4439581015886979,0.5427052051072165,4.259363627072198e-05
21.0,0.7991688882280712,0.5742906441717791,0.6102623814222811,0.5123862923008322,0.5825952956256497,0.8316978936229782,0.5490078171978352,0.5097858775412005,0.4868516767143149,0.541254322417874,4.285518842601942e-05
22.0,0.7981249961567802,0.5708397239263804,0.6084682597008924,0.5150754263342573,0.5783512872751685,0.8523547895257185,0.5057125676488274,0.4941795480973575,0.46310920919545423,0.512007332914928,4.312864719281762e-05
23.0,0.790682936098678,0.582342791411043,0.6109403076701301,0.5176910476100529,0.5891874282955006,0.8515124263995681,0.5850871918220084,0.46864349011588274,0.46352714306677784,0.5458885739513331,4.341389262306357e-05
24.0,0.7995316001352357,0.5743865030674846,0.6053342577809891,0.5137484214491249,0.582506407188435,0.8533701359759737,0.5063138905592303,0.5175216277717631,0.46209157129873235,0.5131084520867876,4.3710799598684106e-05
25.0,0.7946446313082807,0.578316717791411,0.6081406858470749,0.512646747555605,0.586092577245515,0.839997432386739,0.550210463018641,0.4850693191386984,0.4845326611265944,0.5404885402423153,4.401923788646684e-05
26.0,0.7771194281022241,0.5706480061349694,0.6173628905404448,0.5123323707716985,0.5800381345943582,0.8529187986740346,0.5123271196632592,0.5088246571634789,0.48501555889461145,0.5158094021866745,4.4339072195184804e-05
27.0,0.7876491681015565,0.5834930981595092,0.620920303684287,0.528196154138056,0.5910270686832999,0.8282888643689996,0.5778713168971737,0.5163585398372028,0.44696617549927825,0.5145964848751859,4.467016223493955e-05
28.0,0.780174493332582,0.5833013803680982,0.6161105560779564,0.526955895653392,0.5904197753998403,0.8256412241305491,0.5616355983162958,0.5221936525121297,0.4664901277640004,0.5288256354012075,4.5012362778697025e-05
