accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,specificity_macro,specificity_weighted,macro_f1,cohen_kappa,weighted_f1,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,n_samples,roc_auc_ovr_NREM_to_MA,average_precision_NREM_to_MA,f1_NREM_to_MA,roc_auc_ovr_NREM_to_Awake,average_precision_NREM_to_Awake,f1_NREM_to_Awake,roc_auc_ovr_Stable_NREM,average_precision_Stable_NREM,f1_Stable_NREM,params_total,params_trainable,params_frozen,macs_per_forward,latency_ms_per_segment,train_wall_clock_s,label_fraction_requested,label_fraction_realised,partition,best_epoch,best_monitor_value,n_train,n_val,n_eval,evaluated_on
0.7414852037967616,0.7062273169375036,0.7566834155138938,0.7411933154033256,0.7062273169375036,0.7414852037967616,0.8331417015950148,0.7579399009882826,0.728419052469838,0.5060313954236453,0.7408977819926035,0.8619284725084259,0.822040431824469,0.7797271811770067,0.7929130798803766,1791,0.7985472552988195,0.7484598027496163,0.6879240162822252,0.9570100439943554,0.7618107597592769,0.7142857142857143,0.8302281182321025,0.8289109810221268,0.7830474268415741,921347,921347,0,838272,0.037449443819544584,180.711,1.0,1.0,selection_fold_01,28,0.728419052469838,10314,1791,1791,val
0.7262863143157158,0.7124238761397326,0.6835259117733344,0.7281873399573819,0.7124238761397326,0.7262863143157158,0.8148616351165138,0.7182985910338255,0.6970022551289343,0.4420636742065448,0.727109085319437,0.8522288867246273,0.7999025958049802,0.7424360391647745,0.788143933389432,2857,0.773604159242124,0.670797818681033,0.6204878048780488,0.9746642346069074,0.6980599482408989,0.6808510638297872,0.8084182663248504,0.8584503505723917,0.7896678966789668,921347,921347,0,838272,0.03744257919606753,176.03,1.0,1.0,selection_fold_02,31,0.6970022551289343,9248,2857,2857,val
0.7692307692307693,0.7298272056978524,0.7417320952806467,0.7707620034324671,0.7298272056978524,0.7692307692307693,0.8419871225393091,0.7567305983871582,0.7354969639833522,0.5231649087065602,0.7699081789029008,0.8795230074143232,0.8416670423024404,0.8062198111015663,0.8362727933305183,2886,0.8249685827852229,0.7654572883447618,0.6739023186975827,0.9673960809644576,0.7758336870117664,0.7076923076923077,0.8462043584932891,0.8773684579481705,0.8248962655601659,921347,921347,0,838272,0.03748492696710552,149.691,1.0,1.0,selection_fold_03,19,0.7354969639833522,9219,2886,2886,val
0.7880862718247176,0.7322747657868233,0.7699868613238561,0.7812948638544654,0.7322747657868233,0.7880862718247176,0.8298681521966658,0.7015181847652797,0.7480427011288797,0.5156236312361717,0.7815620543955741,0.8716200257164871,0.8306583622100152,0.7889202452997995,0.8356463898681966,2921,0.818554071141899,0.7098529233937664,0.6286764705882353,0.96502184002184,0.760393102196518,0.762589928057554,0.8312841659857224,0.896514710309114,0.8528617047408499,921347,921347,0,838272,0.037486881289320685,174.068,1.0,1.0,selection_fold_04,30,0.7480427011288797,9184,2921,2921,val
0.693939393939394,0.6834861807915701,0.677739356431431,0.6960069409294848,0.6834861807915701,0.693939393939394,0.8070357636001807,0.7271678968611485,0.679118348741237,0.4320098976493083,0.693051171185392,0.8320908326188906,0.7837682294074931,0.7262537039558342,0.7503080648584421,1650,0.7579750927592667,0.7643907263892711,0.7127355796687607,0.9414010582010582,0.6720180974022602,0.6493506493506493,0.7968963468963469,0.7423522880759712,0.6752688172043011,921347,921347,0,838272,0.037478132192821555,172.266,1.0,1.0,selection_fold_05,23,0.679118348741237,10455,1650,1650,val
0.7685834502103787,0.720352756372774,0.7106343764209972,0.7656241372199718,0.720352756372774,0.7685834502103787,0.8382232226732332,0.7460862178093207,0.7148185819745452,0.5179875209069877,0.7666030811257724,0.8857123384485798,0.8468170674440029,0.7630120820010132,0.8394327396453086,2139,0.8228037767619955,0.7554630591279752,0.6583506583506583,0.9793411602959532,0.6392689977939661,0.6545454545454545,0.8549920782877907,0.8943041890810984,0.8315596330275229,921347,921347,0,838272,0.03746469155885279,188.821,1.0,1.0,final_locked_test,26,0.7615557569045941,11382,723,2139,test
