class_idx,class_name,support,precision,recall,specificity,f1,roc_auc_ovr,average_precision
0,NREM_to_MA,991,0.5030461270670148,0.5832492431886983,0.5471847739888978,0.5401869158878505,0.5648200977712977,0.4963092575982599
1,NREM_to_Awake,72,0.29411764705882354,0.5555555555555556,0.9559633027522936,0.38461538461538464,0.8830338939857288,0.3747536913151274
2,Stable_NREM,1189,0.6494312306101344,0.528174936921783,0.6810912511759172,0.5825602968460112,0.6688814920718059,0.6514534241463772
